,Token_Score_Aged,Age,Date,Site,Author,Title,Post Text,Link,Tokens,Token_Map
65,0.25423881450554303,0.6832750203172675,2022-05-04,www.sportskeeda.com,Shambhu Ajith,FC Cincinnati vs Toronto FC Prediction and Betting Tips | 4 May 2022,,https://www.sportskeeda.com/us-soccer/fc-cincinnati-vs-toronto-fc-prediction-betting-tips-4-may-2022?utm_source=feed&utm_medium=referral&utm_campaign=sportskeeda,"['cincinnati', 'toronto', 'prediction', 'betting', 'tips', '4']","[0.37208855430934895, 0.37208855430934895, 0.37208855430934895, 0.37208855430934895, 0.37208855430934895, 0.37208855430934895]"
70,0.2542273105869615,0.6832441031647556,2022-05-04,www.sportskeeda.com,Danny Hart,"""He starts off nicely and then gets vicious"" - Ex-WWE star on working with Vince McMahon",,https://www.sportskeeda.com/wwe/news-ex-wwe-star-vince-mcmahon-turning-vicious?utm_source=feed&utm_medium=referral&utm_campaign=sportskeeda,"['starts', 'nicely', 'vicious', 'exwwe', 'star', 'working', 'vince', 'mcmahon']","[0.37208855430934895, 0.37208855430934895, 0.37208855430934895, 0.37208855430934895, 0.37208855430934895, 0.37208855430934895, 0.37208855430934895, 0.37208855430934895]"
71,0.25422719511231656,0.6832437928229198,2022-05-04,www.sportskeeda.com,Khushi Chandani,"""We don’t really need to do Formula 1"" - Volkswagen CEO says they 'have other priorities strategically' just a day after confirming Porsche and Audi's F1 entry",,https://www.sportskeeda.com/f1/news-f1-news-we-don-t-really-need-formula-1-volkswagen-ceo-says-have-priorities-strategically-just-day-confirming-porsche-audi-s-f1-entry?utm_source=feed&utm_medium=referral&utm_campaign=sportskeeda,"['dont', 'formula', '1', 'volkswagen', 'ceo', 'priorities', 'strategically', 'day', 'confirming', 'porsche', 'audis', 'f1', 'entry']","[0.37208855430934895, 0.37208855430934895, 0.37208855430934895, 0.37208855430934895, 0.37208855430934895, 0.37208855430934895, 0.37208855430934895, 0.37208855430934895, 0.37208855430934895, 0.37208855430934895, 0.37208855430934895, 0.37208855430934895, 0.37208855430934895]"
260,0.6635101861491709,0.6826089326013883,2022-05-03,,Sportsnet Staff,NHL Highlights (May 2),"<p>The post <a href=""https://www.sportsnet.ca/feed/"" rel=""nofollow"">What Sheldon Keefe and the Leafs expect going into Game 2</a> appeared first on <a href=""https://www.sportsnet.ca"" rel=""nofollow"">Sportsnet.ca</a>.</p>",,"['sheldon', 'keefe', 'leafs', 'expect', 'game', '2', 'sportsnetcanhl', 'highlights', '2']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7602951149649253, 0.9878934746351303, 1.0]"
276,0.6555701294094962,0.6826830956208562,2022-05-03,,Daniel Rainbird,MLB Highlights (May 2),"<p>The post <a href=""https://www.sportsnet.ca/feed/"" rel=""nofollow"">What Sheldon Keefe and the Leafs expect going into Game 2</a> appeared first on <a href=""https://www.sportsnet.ca"" rel=""nofollow"">Sportsnet.ca</a>.</p>",,"['sheldon', 'keefe', 'leafs', 'expect', 'game', '2', 'sportsnetcamlb', 'highlights', '2']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.6546687955199224, 0.9878934746351303, 1.0]"
254,0.6381808801722878,0.6825493231639608,2022-05-03,,Daniel Rainbird,NHL Top Plays (May 2),"<p>The post <a href=""https://www.sportsnet.ca/feed/"" rel=""nofollow"">What Sheldon Keefe and the Leafs expect going into Game 2</a> appeared first on <a href=""https://www.sportsnet.ca"" rel=""nofollow"">Sportsnet.ca</a>.</p>",,"['sheldon', 'keefe', 'leafs', 'expect', 'game', '2', 'sportsnetcanhl', 'plays', '2']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7602951149649253, 0.6546687955199224, 1.0]"
248,0.6337117875596919,0.6827380846935807,2022-05-03,,Mike Koreen,Oilers-Kings Game 1,"<p>The post <a href=""https://www.sportsnet.ca/feed/"" rel=""nofollow"">What Sheldon Keefe and the Leafs expect going into Game 2</a> appeared first on <a href=""https://www.sportsnet.ca"" rel=""nofollow"">Sportsnet.ca</a>.</p>",,"['sheldon', 'keefe', 'leafs', 'expect', 'game', '2', 'sportsnetcaoilerskings', 'game', '1']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.35372482640538616, 1.0, 1.0]"
1288,0.6282506948790805,0.6827860730226731,2022-05-03,news.22bet.com,22bet_author,Brighton vs Manchester United Prediction: Premier League Match on 07.05.2022,"<p>Manchester United play their penultimate game of the Premier League season this weekend, as they look to record a second...</p>
<p>The post <a href=""https://news.22bet.com/news/brighton-vs-man-united-prediction-07-05-22/"" rel=""nofollow"">Brighton vs Manchester United Prediction: Premier League Match on 07.05.2022</a> appeared first on <a href=""https://news.22bet.com"" rel=""nofollow"">22bet</a>.</p>",https://news.22bet.com/news/brighton-vs-man-united-prediction-07-05-22/,"['manchester', 'united', 'play', 'penultimate', 'game', 'premier', 'league', 'season', 'weekend', 'record', 'brighton', 'manchester', 'united', 'prediction', 'premier', 'league', 'match', '07052022', '22betbrighton', 'manchester', 'united', 'prediction', 'premier', 'league', 'match', '07052022']","[0.9999999999770828, 0.9999999999999998, 0.9999899669985921, 0.4736938599518636, 1.0, 0.9987649136878158, 1.0, 1.0, 0.8453157718998657, 0.9740785406197663, 0.35372482640538616, 0.9999999999770828, 0.9999999999999998, 0.999998866841359, 0.9987649136878158, 1.0, 0.9999999922523256, 0.9632559892082277, 0.35372482640538616, 0.9999999999770828, 0.9999999999999998, 0.999998866841359, 0.9987649136878158, 1.0, 0.9999999922523256, 0.9632559892082277]"
429,0.6209039646839932,0.6828927913714612,2022-05-03,vikingsterritory.com,Dustin Baker,Vikings Welcome Back Familiar Name,"<p>After the 2022 NFL Draft, an event in which the Minnesota Vikings added 10 new players, the franchise made several</p>
<p>The post <a href=""https://vikingsterritory.com/2022/general-news/vikings-welcome-back-familiar-name"" rel=""nofollow"">Vikings Welcome Back Familiar Name</a> appeared first on <a href=""https://vikingsterritory.com"" rel=""nofollow"">Vikings Territory</a>.</p>",https://vikingsterritory.com/2022/general-news/vikings-welcome-back-familiar-name,"['nfl', 'draft', 'event', 'minnesota', 'vikings', '10', 'players', 'franchise', 'vikings', 'familiar', 'vikings', 'territoryvikings', 'familiar']","[1.0, 1.0, 0.9306289968641346, 0.9999277136034529, 0.9999999999999708, 0.9999617101306616, 0.9999277136034529, 0.7602951149649253, 0.9999999999999708, 0.7097327804900376, 0.9999999999999708, 0.7097327804900376, 0.7097327804900376]"
243,0.6174571643190823,0.6826268310109722,2022-05-03,,Sportsnet Staff,"Maple Leafs-Lightning, Game 1 (May 2)","<p>The post <a href=""https://www.sportsnet.ca/feed/"" rel=""nofollow"">What Sheldon Keefe and the Leafs expect going into Game 2</a> appeared first on <a href=""https://www.sportsnet.ca"" rel=""nofollow"">Sportsnet.ca</a>.</p>",,"['sheldon', 'keefe', 'leafs', 'expect', 'game', '2', 'sportsnetcamaple', 'leafslightning', 'game', '1', '2']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5961167253116648, 0.35372482640538616, 1.0, 1.0, 1.0]"
271,0.6156535650321612,0.6824866121472695,2022-05-03,,Sportsnet Video,Sportsnet welcomes you to the Stanley Cup Playoffs,"<p>The Stanley Cup Playoffs are back on Sportsnet, join us as we begin the journey with the Toronto Maple Leafs taking on the Tampa Bay Lightning in first-round action.</p>
<p>The post <a href=""https://www.sportsnet.ca/feed/"" rel=""nofollow"">What Sheldon Keefe and the Leafs expect going into Game 2</a> appeared first on <a href=""https://www.sportsnet.ca"" rel=""nofollow"">Sportsnet.ca</a>.</p>",,"['stanley', 'cup', 'playoffs', 'join', 'journey', 'toronto', 'maple', 'leafs', 'tampa', 'bay', 'lightning', 'firstround', 'action', 'sheldon', 'keefe', 'leafs', 'expect', 'game', '2', 'sportsnetcasportsnet', 'welcomes', 'stanley', 'cup', 'playoffs']","[0.9306289968641346, 0.9999999995319192, 0.9999998960004248, 0.8792400084965923, 0.4736938599518636, 0.9919882462588104, 0.9987649136878158, 1.0, 0.9075543126604715, 0.8792400084965923, 0.9740785406197663, 0.9075543126604715, 0.9489901389830325, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.35372482640538616, 0.4736938599518636, 0.9306289968641346, 0.9999999995319192, 0.9999998960004248]"
22,0.6107015898433101,0.6832117978376264,2022-05-03,www.skysports.com,No author,Villarreal take shock early lead vs Liverpool LIVE!,,https://www.skysports.com/football/villarreal-vs-liverpool/live/463261,"['villarreal', 'shock', 'early', 'lead', 'liverpool', 'live']","[0.9992677293824642, 0.7602951149649253, 0.6546687955199224, 0.9489901389830325, 0.9999899669985921, 0.9999999999919997]"
1417,0.608900009868896,0.6829458051737753,2022-05-03,sportgrill.co.uk,James Gregory,2021-22 UEFA Champions League Semi-Finals: Second Leg – Real Madrid vs Manchester City,Real Madrid welcome Manchester City to the Santiago Bernabeu in the second leg of their semi-final tie in 2021-22 UEFA Champions League.,https://sportgrill.co.uk/2022/05/03/2021-22-uefa-champions-league-semi-finals-second-leg-real-madrid-vs-manchester-city/,"['real', 'madrid', 'manchester', 'city', 'santiago', 'bernabeu', 'leg', 'semifinal', 'tie', '202122', 'uefa', 'champions', 'league202122', 'uefa', 'champions', 'league', 'semifinals', 'leg', 'real', 'madrid', 'manchester', 'city']","[0.9999998960004248, 0.9999999922523256, 0.9999999999770828, 0.9999999995319192, 0.5961167253116648, 0.5353240898823204, 0.9999801747780325, 0.9995754427323591, 0.7602951149649253, 0.8792400084965923, 0.8056287650697762, 0.9999999999770828, 0.35372482640538616, 0.8056287650697762, 0.9999999999770828, 1.0, 0.8792400084965923, 0.9999801747780325, 0.9999998960004248, 0.9999999922523256, 0.9999999999770828, 0.9999999995319192]"
227,0.6012196883326468,0.6830665569081602,2022-05-03,,Thomas Ketko,The Funeral of Guy Lafleur,"<p>The post <a href=""https://www.sportsnet.ca/feed/"" rel=""nofollow"">What Sheldon Keefe and the Leafs expect going into Game 2</a> appeared first on <a href=""https://www.sportsnet.ca"" rel=""nofollow"">Sportsnet.ca</a>.</p>",,"['sheldon', 'keefe', 'leafs', 'expect', 'game', '2', 'sportsnetcathe', 'funeral', 'guy', 'lafleur']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.35372482640538616, 0.5353240898823204, 0.9820952413415379, 0.9306289968641346]"
